transaction_amount,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,Amount_to_Avg_Ratio,Intrusion_Score,Is_New_Account,intrusion_score,ratio_monto_vs_promedio,riesgo_compuesto_ip,transaction_type_Transfer,transaction_type_Withdrawal,payment_mode_NetBanking,payment_mode_UPI,payment_mode_Wallet,device_type_Web,device_type_iOS,device_location_Chennai,device_location_Delhi,device_location_Hyderabad,device_location_Mumbai,categoria_antiguedad_Menor_1_ano,categoria_antiguedad_1_a_2_anos,categoria_antiguedad_Veterana_gt_2anos,momento_del_dia_Manana,momento_del_dia_Tarde,momento_del_dia_Noche
18758.28,895.0,14.0,1.0,25535.84,0.0,0.718,4.0,0.0,0.7345863695887819,5.0,0.0,5.0,0.7345576038382196,1.436,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47538.18,918.0,21.0,0.0,3955.85,0.0,0.525,9.0,0.0,12.017184675859802,9.0,0.0,9.0,12.01414761742295,0.525,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36613.1,1506.0,8.0,4.0,22727.71,0.0,0.985,9.0,0.0,1.6109454054104,13.0,0.0,13.0,1.6108745282948307,4.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
29952.99,800.0,1.0,3.0,18095.89,0.0,0.797,2.0,0.0,1.6552371836919877,5.0,0.0,5.0,1.6551457184079696,3.188,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7843.13,301.0,4.0,1.0,9317.49,1.0,0.468,1.0,0.0,0.8417642519605603,2.0,0.0,2.0,0.8416739192723285,0.936,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7841.93,1992.0,20.0,3.0,4177.23,0.0,0.583,3.0,0.0,1.8773038592560145,6.0,0.0,6.0,1.8768545532438379,2.332,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2951.28,1285.0,22.0,4.0,11451.45,0.0,0.045,8.0,1.0,0.2577210746237376,12.0,0.0,12.0,0.25769857104811633,0.22499999999999998,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43315.5,1621.0,4.0,4.0,13297.18,0.0,0.965,4.0,0.0,3.2574951982300004,8.0,0.0,8.0,3.257250240258441,4.825,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30075.69,184.0,11.0,0.0,4308.8,0.0,0.363,5.0,0.0,6.98006173412551,5.0,0.0,5.0,6.978442155088403,0.363,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
35418.23,118.0,9.0,3.0,20136.79,0.0,0.662,5.0,0.0,1.7588816290977858,8.0,0.0,8.0,1.7587942867613577,2.648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
